29,45,0.005740666666698476
N1,N2,latency
33,46,0.005850666666703319
N1,N2,latency
29,46,0.005922000000031479
N1,N2,latency
31,45,0.005897333333366646
N1,N2,latency
29,41,0.005795333333365553
N1,N2,latency
32,46,0.005896000000029817
N1,N2,latency
31,47,0.005898000000034483
N1,N2,latency
29,40,0.005895333333365362
N1,N2,latency
29,39,0.0058793333333656455
N1,N2,latency
29,43,0.005908666666700134
N1,N2,latency
30,44,0.0059333333333644375
N1,N2,latency
31,40,0.005702000000031588
N1,N2,latency
30,45,0.005718666666698049
N1,N2,latency
29,42,0.005936000000031008
N1,N2,latency
32,47,0.005807333333365106
N1,N2,latency
30,43,0.005896666666698995
N1,N2,latency
31,46,0.005780666666700057
N1,N2,latency
30,47,0.005842000000034083
N1,N2,latency
29,38,0.005774666666698497
N1,N2,latency
38,38,0.0060966666667001965
N1,N2,latency
38,39,0.006036666666703827
N1,N2,latency
37,38,0.006072666666698839
N1,N2,latency
38,46,0.006114000000035684
N1,N2,latency
37,41,0.006024666666704489
N1,N2,latency
37,42,0.006014666666700932
N1,N2,latency
38,40,0.0060766666667007455
N1,N2,latency
38,41,0.006193333333370444
N1,N2,latency
37,46,0.005968000000034668
N1,N2,latency
38,43,0.005998666666704705
N1,N2,latency
37,40,0.00586733333336706
N1,N2,latency
36,41,0.005960666666700528
N1,N2,latency
37,39,0.006018666666702125
N1,N2,latency
38,47,0.00605466666670409
N1,N2,latency
37,44,0.006185333333369006
N1,N2,latency
36,38,0.005770666666697342
N1,N2,latency
38,42,0.006184000000038314
N1,N2,latency
38,45,0.006056000000037541
N1,N2,latency
35,40,0.005784000000033529
N1,N2,latency
35,41,0.005820000000037173
N1,N2,latency
34,40,0.00567000000003394
N1,N2,latency
38,44,0.006198000000038214
N1,N2,latency
34,38,0.005962000000033494
N1,N2,latency
34,43,0.005817333333366781
N1,N2,latency
37,43,0.005971333333369902
N1,N2,latency
36,42,0.0060406666667008205
N1,N2,latency
34,44,0.005796000000033221
N1,N2,latency
35,43,0.0056746666666976755
N1,N2,latency
33,38,0.00578733333336308
N1,N2,latency
36,39,0.005808666666700448
N1,N2,latency
35,42,0.005800000000032444
N1,N2,latency
36,40,0.006033333333371658
N1,N2,latency
35,45,0.005859333333367629
N1,N2,latency
33,43,0.005782000000033437
N1,N2,latency
36,43,0.005928000000037855
N1,N2,latency
34,42,0.00597266666669962
N1,N2,latency
37,45,0.00586400000003562
N1,N2,latency
37,47,0.005982000000034063
N1,N2,latency
35,38,0.005918666666699726
N1,N2,latency
34,39,0.005856000000032959
N1,N2,latency
34,41,0.005868666666701308
N1,N2,latency
34,46,0.005849333333367447
N1,N2,latency
33,40,0.005876000000035847
N1,N2,latency
36,44,0.006093333333371135
N1,N2,latency
36,46,0.0057580000000345
N1,N2,latency
35,39,0.0058246666666996495
N1,N2,latency
36,45,0.005830000000034768
N1,N2,latency
36,47,0.0059600000000371136
N1,N2,latency
32,42,0.005808000000030196
N1,N2,latency
32,43,0.005759333333364788
N1,N2,latency
31,40,0.005858666666699915
N1,N2,latency
31,42,0.005978000000033631
N1,N2,latency
32,44,0.005791333333366546
N1,N2,latency
31,46,0.005782000000033394
N1,N2,latency
31,45,0.005707333333366774
N1,N2,latency
32,47,0.005864666666697784
N1,N2,latency
30,45,0.005878000000035288
N1,N2,latency
30,40,0.005838000000031862
N1,N2,latency
31,41,0.005848666666698619
N1,N2,latency
31,43,0.0058580000000329055
N1,N2,latency
30,38,0.005942666666697327
N1,N2,latency
30,42,0.0057480000000321415
N1,N2,latency
33,45,0.005869333333367113
N1,N2,latency
31,44,0.005890000000030133
N1,N2,latency
35,44,0.005904666666699627
N1,N2,latency
35,47,0.005953333333368825
N1,N2,latency
29,44,0.005832666666700168
N1,N2,latency
32,45,0.005898666666700677
N1,N2,latency
29,45,0.005762666666699543
N1,N2,latency
35,46,0.005735333333367065
N1,N2,latency
34,45,0.005854666666702534
N1,N2,latency
33,44,0.005829333333365087
N1,N2,latency
33,41,0.005865333333365404
N1,N2,latency
33,42,0.005818000000034482
N1,N2,latency
33,39,0.0059806666666973075
N1,N2,latency
29,46,0.0059713333333665216
N1,N2,latency
32,40,0.005871333333363906
N1,N2,latency
34,47,0.005966666666698196
N1,N2,latency
32,38,0.005790000000032852
N1,N2,latency
32,41,0.005742000000031253
N1,N2,latency
33,46,0.005873333333367005
N1,N2,latency
33,47,0.005752000000029789
N1,N2,latency
32,39,0.0058880000000302605
N1,N2,latency
30,47,0.005816666666696851
N1,N2,latency
30,44,0.005847333333369334
N1,N2,latency
29,40,0.0057253333333630455
N1,N2,latency
32,46,0.005944000000034771
N1,N2,latency
31,38,0.005920666666699411
N1,N2,latency
31,39,0.005758666666698462
N1,N2,latency
29,38,0.005920000000029054
N1,N2,latency
30,46,0.005918000000034656
N1,N2,latency
29,42,0.005777333333364892
N1,N2,latency
31,47,0.005720000000034795
N1,N2,latency
30,41,0.005765333333368108
N1,N2,latency
29,43,0.005709333333364205
N1,N2,latency
30,43,0.00583066666669627
N1,N2,latency
29,41,0.00583466666669952
N1,N2,latency
29,47,0.005893333333368253
N1,N2,latency
30,39,0.0058746666667013345
N1,N2,latency
29,39,0.005787333333364282
N1,N2,latency
38,41,0.006272000000037744
N1,N2,latency
38,42,0.006047333333370308
N1,N2,latency
37,38,0.005872000000034607
N1,N2,latency
38,40,0.006000666666701711
N1,N2,latency
38,47,0.005986666666703681
N1,N2,latency
38,38,0.006274666666702302
N1,N2,latency
37,43,0.005823333333368866
N1,N2,latency
38,39,0.005931333333367474
N1,N2,latency
36,40,0.00589200000003533
N1,N2,latency
37,40,0.005996000000036274
N1,N2,latency
37,39,0.006244666666705219
N1,N2,latency
38,46,0.005966666666702503
N1,N2,latency
37,44,0.006094000000035404
N1,N2,latency
37,46,0.0059400000000351064
N1,N2,latency
37,42,0.005902666666705377
N1,N2,latency
36,41,0.005852000000032839
N1,N2,latency
38,43,0.006114000000037101
N1,N2,latency
35,43,0.005968000000031953
N1,N2,latency
35,44,0.005922666666699091
N1,N2,latency
38,45,0.0060746666667038365
N1,N2,latency
34,40,0.00586266666670048
N1,N2,latency
38,44,0.006164666666703871
N1,N2,latency
34,39,0.005747333333368096
N1,N2,latency
36,38,0.005790000000033533
N1,N2,latency
35,40,0.005828000000035297
N1,N2,latency
35,42,0.005865333333366117
N1,N2,latency
37,41,0.00593600000003595
N1,N2,latency
37,45,0.006020666666702377
N1,N2,latency
35,41,0.005791333333366178
N1,N2,latency
34,45,0.005854000000032237
N1,N2,latency
33,42,0.0056766666666981215
N1,N2,latency
35,38,0.0059046666667004
N1,N2,latency
36,42,0.00575200000003753
N1,N2,latency
34,41,0.00571466666669595
N1,N2,latency
36,39,0.005900666666699912
N1,N2,latency
34,42,0.005734666666699878
N1,N2,latency
37,47,0.005903333333368596
N1,N2,latency
36,47,0.0060913333333688134
N1,N2,latency
33,38,0.005790000000031962
N1,N2,latency
35,39,0.005745333333362925
N1,N2,latency
34,46,0.005723333333365483
N1,N2,latency
36,46,0.005930000000033188
N1,N2,latency
36,45,0.006018666666702638
N1,N2,latency
33,43,0.0058280000000326074
N1,N2,latency
34,38,0.005924000000033793
N1,N2,latency
36,44,0.005748000000036404
N1,N2,latency
36,43,0.005813333333370346
N1,N2,latency
34,44,0.005909333333366717
N1,N2,latency
32,45,0.0058493333333709836
N1,N2,latency
32,46,0.005814666666697858
N1,N2,latency
31,41,0.005887333333369299
N1,N2,latency
32,42,0.005866666666699068
N1,N2,latency
32,44,0.005798000000032083
N1,N2,latency
32,43,0.005739333333365778
N1,N2,latency
30,44,0.005867333333366684
N1,N2,latency
31,47,0.005918666666697309
N1,N2,latency
31,43,0.0058346666666987575
N1,N2,latency
31,44,0.005728000000032479
N1,N2,latency
30,38,0.005830666666695494
N1,N2,latency
31,40,0.005934666666699863
N1,N2,latency
30,40,0.005943333333368475
N1,N2,latency
30,45,0.005800000000029776
N1,N2,latency
31,42,0.005793333333368665
N1,N2,latency
31,46,0.0057253333333627705
N1,N2,latency
34,47,0.00582933333336753
N1,N2,latency
34,43,0.005832666666698175
N1,N2,latency
32,41,0.005806666666704324
N1,N2,latency
35,45,0.005903333333370066
N1,N2,latency
33,40,0.005812000000035098
N1,N2,latency
35,47,0.005776000000036693
N1,N2,latency
35,46,0.006020000000036207
N1,N2,latency
29,44,0.0058800000000297425
N1,N2,latency
29,46,0.005884000000033167
N1,N2,latency
32,40,0.005843333333368979
N1,N2,latency
33,41,0.005728666666698635
N1,N2,latency
33,39,0.005812000000030336
N1,N2,latency
33,44,0.0057300000000320515
N1,N2,latency
29,45,0.005782666666699362
N1,N2,latency
32,39,0.005870000000031509
N1,N2,latency
32,38,0.005912000000032104
N1,N2,latency
33,46,0.005804666666697861
N1,N2,latency
33,47,0.005844666666701343
N1,N2,latency
33,45,0.005677333333363338
N1,N2,latency
31,45,0.005888000000035312
N1,N2,latency
29,47,0.005878666666698784
N1,N2,latency
30,39,0.005866000000029787
N1,N2,latency
29,43,0.00569800000003245
N1,N2,latency
31,39,0.005850000000034345
N1,N2,latency
31,38,0.005822666666696783
N1,N2,latency
30,46,0.005734666666697559
N1,N2,latency
29,38,0.005813333333365955
N1,N2,latency
30,42,0.005754666666696082
N1,N2,latency
29,42,0.005930000000032627
N1,N2,latency
29,41,0.005802000000032221
N1,N2,latency
